original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
potassiumchloride|potassium choride|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
potassuim chloride|potassium chloride|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
potato|potato|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
potato fiber|potato fiber|human food by-products|roughage fiber|potato fiber|roughage fiber|potato fiber
potato flour|potato flour|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
potato protein|potato protein|miscellaneous products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
potato starch|potato starch|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
potatoes|potato|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
poultry|poultry|animal products|animal products|general animal products|animal products|general animal products
poultry and pork digest|poultry and pork digest|animal products|animal products|general animal products|animal products|general animal products
poultry broth|poultry broth|animal products|animal products|general animal products|animal products|general animal products
poultry by-product mea|poultry by-product meal|animal products|animal products|general animal products|animal products|general animal products
poultry by-product meal|poultry by-product meal|animal products|animal products|general animal products|animal products|general animal products
poultry by-product meal|poultry by-product meal|animal products|animal products|general animal products|animal products|general animal products
poultry by-product meal (a source of glucosamine and chondroitin sulfate)|poultry by-product meal|animal products|animal products|general animal products|animal products|general animal products
poultry by-product meal (natural source of glucosamine)|poultry by-product meal|animal products|animal products|general animal products|animal products|general animal products
poultry by-product meal (source of glucosamine)|poultry by-product meal|animal products|animal products|general animal products|animal products|general animal products
poultry by-products|poultry by-product|animal products|animal products|general animal products|animal products|general animal products
poultry digest|poultry digest|animal products|animal products|general animal products|animal products|general animal products
poultry fat (preserved with mixed tocopherols)|poultry fat (preserved with mixed tocopherols)|fats and oils|fats and oils|poultry fat|fats and oils|poultry fat
poultry fat (preserved with mixed tocopherols)|poultry fat (preserved with mixed tocopherols)|fats and oils|fats and oils|poultry fat|fats and oils|poultry fat
poultry fat from 100% chicken mixed tocopherols (vitamin e) used as a preservative|poultry fat|fats and oils|fats and oils|poultry fat|fats and oils|poultry fat
poultry fat from chicken (vitamin e mixed tocopherols used as a preservative)|poultry fat (preserved with mixed tocopherols)|fats and oils|fats and oils|poultry fat|fats and oils|poultry fat
poultry fat preserved with bha|poultry fat (preserved with butylated hydroxy anisole)|fats and oils|fats and oils|poultry fat|fats and oils|poultry fat
poultry giblets|poultry giblet|animal products|animal products|general animal products|animal products|general animal products
poultry heart|poultry heart|animal products|animal products|general animal products|animal products|general animal products
poultry hearts|poultry heart|animal products|animal products|general animal products|animal products|general animal products
poultry liver|poultry liver|animal products|animal products|general animal products|animal products|general animal products
poultry livers|poultry liver|animal products|animal products|general animal products|animal products|general animal products
poultry meal (100% chicken duck and turkey)|poultry by-product meal|animal products|animal products|general animal products|animal products|general animal products
poultry meal from 100% chicken|poultry meal from 100% chicken|animal products|animal products|chicken|animal products|chicken
powdered cellulose|powdered cellulose|special purpose products|roughage fiber|cellulose products|roughage fiber|cellulose products
powdered psyllium seed husk|powdered psyllium seed husk|miscellaneous products|roughage fiber|psyllium|roughage fiber|psyllium
prawn|prawn|marine products|marine products|seafood|marine products|other seafood
prawn 23%|prawn|marine products|marine products|seafood|marine products|other seafood
prawns|prawn|marine products|marine products|seafood|marine products|other seafood
prebiotic/probiotic blend|prebiotic/probiotic blend|unknown|unknown|unknown|unknown|unknown
preserved with citric acid|cirtic acid (preservative)|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
